	Time(us)	Latency		Task_done
788	187103		230		789
789	187333		230		790
790	187562		229		791
791	187794		232		792
792	188024		230		793
793	188253		229		794
794	188483		230		795
795	188712		229		796
796	188941		229		797
797	189172		231		798
798	189402		230		799
799	189631		229		800
800	189862		231		801
801	190092		230		802
802	190322		230		803
803	190552		230		804
804	190781		229		805
805	191011		230		806
806	191240		229		807
807	191470		230		808
808	191699		229		809
809	191929		229		810
810	192158		229		811
811	192388		230		812
812	192618		230		813
813	192847		229		814
814	193077		230		815
815	193307		230		816
816	193536		229		817
817	193766		230		818
818	193995		229		819
819	194225		230		820
820	194456		231		821
821	194686		230		822
822	194915		229		823
823	195146		230		824
824	195375		229		825
825	195606		231		826
826	195836		230		827
827	196065		229		828
828	196295		230		829
829	196524		229		830
830	196754		229		831
831	196984		230		832
832	197213		229		833
833	197443		230		834
834	197673		230		835
835	197903		230		836
836	198133		230		837
837	198363		230		838
838	198592		229		839
839	198821		229		840
840	199050		229		841
841	199280		230		842
842	199512		232		843
843	199742		230		844
844	199971		229		845
845	200201		230		846
846	200431		229		847
847	200661		230		848
848	200890		229		849
849	201120		230		850
850	201351		231		851
851	201580		229		852
852	201810		230		853
853	202039		229		854
854	202269		230		855
855	202499		230		856
856	202728		229		857
857	202957		229		858
858	203188		230		859
859	203417		229		860
860	203647		229		861
861	203877		230		862
862	204106		229		863
863	204336		230		864
864	204565		229		865
865	204796		231		866
866	205026		230		867
867	205257		230		868
868	205486		229		869
869	205716		230		870
870	205945		229		871
871	206176		230		872
872	206405		229		873
873	206634		229		874
874	206864		230		875
875	207093		229		876
876	207322		229		877
877	207552		229		878
878	207783		231		879
879	208012		229		880
880	208242		230		881
881	208472		230		882
882	208701		229		883
883	208931		230		884
884	209161		230		885
885	209392		231		886
886	209621		229		887
887	209850		229		888
888	210080		230		889
889	210310		230		890
890	210540		230		891
891	210770		230		892
892	210999		229		893
893	211232		233		894
894	211461		229		895
895	211691		230		896
896	211920		229		897
897	212151		231		898
898	212380		229		899
899	212610		230		900
900	212839		229		901
901	213069		230		902
902	213298		229		903
903	213528		230		904
904	213758		230		905
905	213987		229		906
906	214217		230		907
907	214446		229		908
908	214677		231		909
909	214906		229		910
910	215135		229		911
911	215365		230		912
912	215595		230		913
913	215825		230		914
914	216054		229		915
915	216283		229		916
916	216513		230		917
917	216742		229		918
918	216972		230		919
919	217202		230		920
920	217431		229		921
921	217661		230		922
922	217890		229		923
923	218119		229		924
924	218348		229		925
925	218578		230		926
926	218808		230		927
927	219037		229		928
928	219266		229		929
929	219497		230		930
930	219727		230		931
931	219957		230		932
932	220187		230		933
933	220416		229		934
934	220646		229		935
935	220876		230		936
936	221106		230		937
937	221335		229		938
938	221564		229		939
939	221794		230		940
940	222025		231		941
941	222255		230		942
942	222485		230		943
943	222714		229		944
944	222946		232		945
945	223176		229		946
946	223406		230		947
947	223635		229		948
948	223865		229		949
949	224095		230		950
950	224325		230		951
951	224554		229		952
952	224784		230		953
953	225014		230		954
954	225243		229		955
955	225473		230		956
956	225703		229		957
957	225933		229		958
958	226163		229		959
959	226377		214		960
960	226593		216		961
961	226823		230		962
962	227052		229		963
963	227283		231		964
964	227512		229		965
965	227743		231		966
966	227973		230		967
967	228203		230		968
968	228432		229		969
969	228662		230		970
970	228892		230		971
971	229122		230		972
972	229351		229		973
973	229581		230		974
974	229811		230		975
975	230040		229		976
976	230269		229		977
977	230500		230		978
978	230729		229		979
979	230958		229		980
980	231188		230		981
981	231417		229		982
982	231647		230		983
983	231877		230		984
984	232107		230		985
985	232337		230		986
986	232568		231		987
987	232797		229		988
988	233027		230		989
989	233257		230		990
990	233487		230		991
991	233717		230		992
992	233946		229		993
993	234180		231		994
994	234410		230		995
995	234640		230		996
996	234871		231		997
997	235101		230		998
998	235331		230		999
999	235560		229		1000
